gid,pid,detail,off,def,type,qb,trg,bc,qtr,los,dwn,ytg,yfog,zone,yds,succ,fd,sg,nh,comp,ints,box,avt,pru,spru,blz,dblz,ttsk,pap,side,high,oop,shov,scre,qbp,qbhi,qbhu,htm,tay,dot,dotr,cov,cnb,crr,yac,yaco,mbt,drp,intw,back,defpr1,defpr2,defhi,defhu1,defhu2
5064,830318,(:57) (Shotgun) B.Mayfield pass short left to D.Ratley to CLE 20 for 7 yards (L.Ryan).,CLE,TEN,PASS,BM-0650,DR-0550,,2,CLE 13,1,10,13,1,7,1,0,1,0,1,0,6,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,3,1,0,0,1,1,0,0,0,1,,,,,
5064,830319,(:36) B.Mayfield pass short right to D.Hilliard to CLE 34 for 14 yards (L.Ryan).,CLE,TEN,PASS,BM-0650,DH-3137,,2,CLE 20,2,3,20,1,14,1,1,0,0,1,0,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,1,0,0,0,9,2,0,0,0,1,,,,,
5064,830320,(:30) B.Mayfield pass deep right to O.Beckham Jr. pushed ob at TEN 42 for 24 yards (A.Jackson).,CLE,TEN,PASS,BM-0650,OB-0075,,2,CLE 34,1,10,34,2,24,1,1,0,0,1,0,6,5,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,26,16,3,0,0,0,8,1,0,0,0,1,,,,,
5064,830322,"(:15) (Shotgun) B.Mayfield pass incomplete short left [L.Ryan]. The Replay Official reviewed the runner was not down by contact ruling, and the play was REVERSED. (Shotgun) B.Mayfield sacked at CLE 40 for -8 yards (L.Ryan).",CLE,TEN,PASS,BM-0650,,,2,CLE 48,1,20,48,3,-8,0,0,1,0,0,0,7,4,4,0,1,1,3.9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,LR-0600,,LR-0600,,
5064,830323,(:10) (Shotgun) B.Mayfield pass incomplete short left to O.Beckham Jr..,CLE,TEN,PASS,BM-0650,OB-0075,,2,CLE 40,2,28,40,2,,0,0,1,0,0,0,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,1,0,0,0,0,0,0,0,0,1,,,,,
5064,830324,(:07) (Shotgun) B.Mayfield pass short left to O.Beckham Jr. to CLE 45 for 5 yards (M.Butler).,CLE,TEN,PASS,BM-0650,OB-0075,,2,CLE 40,3,28,40,2,5,0,0,1,0,1,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,2,0,0,0,0,0,3,0,0,1,,,,,
5064,830326,(14:55) M.Mariota pass short middle to A.Brown to CLE 28 for 51 yards (J.Whitehead; M.Burnett).,TEN,CLE,PASS,MM-0912,AB-3150,,3,TEN 21,1,10,21,2,51,1,1,0,0,1,0,7,2,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,19,12,1,0,0,0,39,34,2,0,0,2,,,,,
5064,830327,(14:10) (Shotgun) M.Mariota sacked at CLE 38 for -10 yards (L.Ogunjobi).,TEN,CLE,PASS,MM-0912,,,3,CLE 28,1,10,72,4,-10,0,0,1,0,0,0,7,4,4,0,0,0,3.9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,LO-0050,MG-0287,LO-0050,,
5064,830328,(13:24) (Shotgun) D.Henry right end to CLE 36 for 2 yards (J.Schobert).,TEN,CLE,RUSH,DH-2450,,DH-2450,3,CLE 38,2,20,62,4,2,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,,,,
5064,830329,(12:44) (Shotgun) M.Mariota pass short right to D.Lewis to CLE 35 for 1 yard (C.Kirksey).,TEN,CLE,PASS,MM-0912,DL-1700,,3,CLE 36,3,18,64,4,1,0,0,1,0,1,0,6,5,4,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,-4,1,0,0,0,5,1,0,0,0,1,OV-0200,MG-0287,OV-0200,OV-0200,MG-0287
